Center name,address,pin,phone1,phone2,bk_contact,email,connection,area,city
Undri Pisoli,"Jagdamba Bhawan meditation & retreat centre, Survey No. 20/B, Nr. SMEF Brick Architect College, Undri- Pisoli boundry Rd., Lane Opp. Ambekar hotel, Katraj- Hadapsar by-pass",411028,9960967526,7875618379,BK Sunanda,jagdambabhawan.pun@gmail.com,,Undri Pisoli,Pune
Camp,"19/377, Mira Soc., Nr. Kumar Pacific Mall, Off 7-loves fly over, Shankar Sheth Rd.",411037,020-26450767,020-26441384,BK Nalini,miraSoc..pun@bkivv.org,MS,Camp,Pune
GPO,"A-12, Shanti Kunj, Opp. G.P.O",411001,020-26122525,9423235848,BK Urmila,shantikunj.pun@bkivv.org,GPO,GPO,Pune
Quarter Gate,"B-111, Kaveri Apartment, Nana Peth, Quarter Gate, Nr. Ambedkar College",411002,020-26353327,,BK Paru,quartergate.pun@bkivv.org,QG,Quarter Gate,Pune
Aakurdi,"Sant Gyaneshwar Udhyan, Behind Mahasakant college, Pradhikaran, Aakurdi",411035,9623918953,,BK Manisha,,,Aakurdi,Pune
Amanora,"Flat No. 203, Tower 4, Aspire towers, R2 Sector, Amanora Park Town, Hadapsar",411028,9420439630,8177860071,,,,Amanora,Pune
Aundh Camp,"Gajraj Niwas, Vishalnagar, Jagtap Dairy, Wakad Rd., Aundh Camp",411027,8888679452,,BK Uttekar,,,Aundh Camp,Pune
Aundh DP Road,"Survey No. 249/1, Gr floor, Opp Harshad jewellers, Murkute Colony, DP Road, Near DAV school, Aundh",411007,9405608761,,,bkbanerchs@gmail.com,,Aundh DP Road,Pune
Aundh gaon,"155, Ek Omkar furniture, Gurudwara Rd., Aundhgaon",411007,,,,,,Aundh gaon,Pune
Balewadi,"1st floor, Prathibaniktan, Behind Mamta Dining hall, Nr. Laxmi Mandir, Opp. Bharati Vidya Peeth, Balewadi",411061,9970311250,9881664544,BK Aarti,,,Balewadi,Pune
Baner,"S No. 126/2, Raikar Farm, Behind Yahma Kings Motors, Near Prabhavee Tech Park, Baner",411045,7058892237,,,baner.pun@bkivv.org,,Baner,Pune
Baner Gaon,"3rd floor, A wing, Sai residency, Opp. four fountain spa, Near Datta Mandir, Baner Gaon",411045,8605744049,,,,,Baner Gaon,Pune
Bavdhan,"1st floor, Someshwar Heights, Opp. Dreams Rythms, Near Talhati office, Bavdhan Budruk",411021,9762505314,,,,,Bavdhan,Pune
